JOB ID          REPLACED PAGE   PLACED PAGE     FRAME           STATUS          
19              12              23              123             NR:NM           
20              7               1               97              NR:NM           
19              16              13              16              NR:NM           
19              17              6               30              NR:NM           
5               9               12              62              NR:NM           
19              13              12              16              NR:NM           
17              0               2               24              NR:NM           
10              9               0               72              NR:NM           
4               47              10              35              NR:NM           
11              21              2               10              NR:NM           
7               73              97              85              NR:NM           
5               46              50              19              NR:NM           
19              6               16              30              NR:NM           
19              12              0               16              NR:NM           
19              16              7               30              NR:NM           
19              21              25              118             NR:NM           
17              6               3               36              NR:NM           
19              7               21              30              NR:NM           
10              28              38              39              NR:NM           
20              6               15              25              NR:NM           
11              7               20              71              NR:NM           
7               26              2               44              NR:NM           
5               12              59              62              NR:NM           
4               17              35              5               NR:NM           
11              2               11              10              NR:NM           
20              37              20              8               NR:NM           
5               50              31              19              NR:NM           
7               77              25              104             NR:NM           
19              23              11              123             NR:NM           
11              20              29              71              NR:NM           
10              0               31              72              NR:NM           
5               54              47              82              NR:NM           
17              7               4               11              NR:M            
7               2               72              44              NR:NM           
4               10              47              35              NR:NM           
20              15              35              25              NR:NM           
19              21              7               30              NR:NM           
10              38              25              39              NR:NM           
17              2               1               24              NR:NM           
7               25              38              104             NR:NM           
19              11              3               123             NR:NM           
10              31              3               72              NR:NM           
5               31              35              19              NR:NM           
17              3               0               36              NR:NM           
4               35              13              5               NR:NM           
20              20              6               8               NR:NM           
5               47              32              82              NR:NM           
17              1               3               24              NR:NM           
7               72              93              44              NR:NM           
19              7               13              30              NR:NM           
10              25              10              39              NR:NM           
5               35              5               19              NR:NM           
7               38              25              104             NR:NM           
4               47              12              35              NR:NM           
5               32              6               82              NR:NM           
7               79              14              53              NR:NM           
19              25              7               118             NR:NM           
10              3               41              72              NR:NM           
5               5               33              19              NR:NM           
4               50              49              126             NR:NM           
7               25              96              104             NR:NM           
17              0               8               36              NR:M            
7               14              55              53              NR:NM           
20              41              9               88              NR:NM           
19              27              33              38              NR:NM           
10              10              36              39              NR:NM           
4               13              34              5               NR:NM           
